Name,IATA Code,ICAO Code,Prefix,Fleet Size,Destinations,Callsign,Logo URL,Wikipedia URL,AOC Number,Hubs,Destinations - actual names and airport/city code,Website,Key people,Employees,Headquarters,Alliance,Frequent-flyer programs,Revenue,Operating Income,Net Income,Total assets,Total equity,Founded
40 Mile Air,Q5,MLA,N,1,3,,https://images.planefinder.net/api/logo/MLA/w/256,https://en.wikipedia.org/wiki/Chisana_Airport,,,"Tok, AK (TKJ) — Tok Airport",,,,,,,,,,,,
9 Air,AQ,JYH,B,27,65,TRANS JADE,https://images.planefinder.net/api/logo/JYH/w/256,https://en.wikipedia.org/wiki/9_Air,,Guangzhou Baiyun International Airport,,9air .com,,,"Guangzhou , Guangdong , China",,,,,,,,"February 12, 2014 ( 2014-02-12 ); December 2, 2014 ( 2014-12-02 )"
Abelag Aviation,W9,AAB,OO,15,55,ABG,https://images.planefinder.net/api/logo/AAB/w/256,https://en.wikipedia.org/wiki/Abelag_Aviation,,Brussels Airport,,abelag.com,Ward Bonduel ( CEO ),,"Zaventem , Belgium",,,,,,,,1964
ABX Air,GB,ABX,N,27,0,ABX,https://images.planefinder.net/api/logo/ABX/w/256,https://en.wikipedia.org/wiki/ABX_Air,ABXA001A,Cincinnati/Northern Kentucky International Airport ; Miami International Airport,,www .abxair .com,"John Maloney (President) ; Brant Venice (Chief Operating Officer ; Bob Boja (Vice President of Flight Operations) ; Rob Davis (Vice President, Aircraft Maintenance)",,"Wilmington Air Park ; Clinton County, Ohio , U.S.",,,,,,,,April 1980 ( April 1980 )
ACT Airlines,9T,RUN,TC,0,0,CARGO TURK,https://images.planefinder.net/api/logo/RUN/w/256,https://en.wikipedia.org/wiki/Air_ACT,,Sabiha Gökçen International Airport; Istanbul Airport,,actairlines .com,Daglar Çizmeci ( CEO ) ; Gunes Namoler (Managing Director),,"Istanbul , Turkey",,,,,,,,2004 ( 2004 )
Aegean Airlines,A3,AEE,SX,70,119,AEGEAN,https://images.planefinder.net/api/logo/AEE/w/256,https://en.wikipedia.org/wiki/Aegean_Airlines,GR-007,Athens ; Thessaloniki; Chania ; Heraklion ; Kalamata ; Larnaca ; Rhodes,Albania: Tirana (TIA) — Tirana International Airport Nënë Tereza; Armenia: Yerevan (EVN) — Zvartnots International Airport; Austria: Innsbruck (INN) — Innsbruck Airport; Azerbaijan: Baku (GYD) — Heydar Aliyev International Airport; Belgium: Brussels (BRU) — Brussels Airport; Bosnia and Herzegovina: Banja Luka (BNX) — Banja Luka International Airport; Sarajevo: Sarajevo International Airport — Seasonal; Bulgaria: Sofia (SOF) — Vasil Levski Sofia Airport; Croatia: Dubrovnik (DBV) — Dubrovnik Airport; Split: Split Airport — Seasonal; Zadar: Zadar Airport — Terminated; Cyprus: Larnaca (LCA) — Larnaca International Airport; Paphos: Paphos International Airport — Terminated; Czech Republic: Prague (PRG) — Václav Havel Airport Prague; Egypt: Alexandria (HBE) — Borg El Arab International Airport; Luxor: Luxor International Airport — Seasonal; Sharm El Sheikh: Sharm El Sheikh International Airport — Seasonal; Estonia: Tallinn (TLL) — Tallinn Airport; Finland: Helsinki (HEL) — Helsinki Airport; Oulu: Oulu Airport — Seasonal charter; France: Bordeaux (BOD) — Bordeaux–Mérignac Airport; Brest: Brest Bretagne Airport — Seasonal; Deauville: Deauville–Normandie Airport — Seasonal; Dole: Dole–Jura Airport — Terminated; Lille: Lille Airport — Seasonal; Lyon: Lyon–Saint-Exupéry Airport — Seasonal; Marseille: Marseille Provence Airport — Seasonal; Metz / Nancy: Metz–Nancy–Lorraine Airport — Seasonal; Nantes: Nantes Atlantique Airport — Seasonal; Toulouse: Toulouse–Blagnac Airport — Seasonal; Georgia: Tbilisi (TBS) — Tbilisi International Airport; Germany: Berlin (BER) — Berlin Brandenburg Airport; Bremen: Bremen Airport — Seasonal charter; Erfurt: Erfurt–Weimar Airport — Seasonal charter; Friedrichshafen: Friedrichshafen Airport — Seasonal charter; Hanover: Hannover Airport — Seasonal; Karlsruhe: Karlsruhe/Baden-Baden Airport — Terminated; Kassel: Kassel Airport — Terminated; Memmingen: Memmingen Airport — Seasonal charter; Münster: Münster Osnabrück Airport — Seasonal charter; Nuremberg: Nuremberg Airport — Seasonal; Greece: Alexandroupoli (AXD) — Alexandroupoli Airport; Athens: Athens International Airport — Hub; Chania: Chania International Airport — Focus city; Heraklion: Heraklion International Airport — Focus city; Kalamata: Kalamata International Airport — Focus city; Sitia: Sitia Public Airport — Terminated; Skyros: Skyros Island National Airport — Terminated; Thessaloniki: Thessaloniki Airport — Hub; Zakynthos: Zakynthos International Airport — Terminated; Hungary: Budapest (BUD) — Budapest Ferenc Liszt International Airport; India: Delhi (DEL) — Indira Gandhi International Airport; Mumbai: Chhatrapati Shivaji Maharaj International Airport — Begins May 2026; Iraq: Baghdad (BGW) — Baghdad International Airport; Ireland: Dublin (DUB) — Dublin Airport; Israel: Tel Aviv (TLV) — Ben Gurion Airport; Catania: Catania–Fontanarossa Airport — Seasonal; Genoa: Genoa Cristoforo Colombo Airport — Terminated; Lamezia Terme: Lamezia Terme International Airport — Terminated; Milan: Milan Linate Airport — Terminated; Olbia: Olbia Costa Smeralda Airport — Seasonal; Palermo: Falcone Borsellino Airport — Seasonal; Pisa: Pisa International Airport — Seasonal; Turin: Turin Airport — Terminated; Verona: Verona Villafranca Airport — Terminated; Jordan: Amman (AMM) — Queen Alia International Airport; Kuwait: Kuwait City (KWI) — Kuwait International Airport; Latvia: Riga (RIX) — Riga International Airport; Lebanon: Beirut (BEY) — Beirut–Rafic Hariri International Airport; Lithuania: Vilnius (VNO) — Vilnius Čiurlionis International Airport; Luxembourg: Luxembourg City (LUX) — Luxembourg Airport; Malta: Valletta (MLA) — Malta International Airport; Moldova: Chișinău (RMO) — Chișinău Eugen Doga International Airport; Montenegro: Podgorica (TGD) — Podgorica Airport; Netherlands: Amsterdam (AMS) — Amsterdam Airport Schiphol; Norway: Kristiansand (KRS) — Kristiansand Airport; Poland: Kraków (KRK) — Kraków John Paul II International Airport; Portugal: Lisbon (LIS) — Lisbon Airport; North Macedonia: Skopje (SKP) — Skopje International Airport; Romania: Brașov (GHV) — Brașov-Ghimbav International Airport; Cluj-Napoca: Cluj International Airport — Terminated; Nizhny Novgorod: Nizhny Novgorod International Airport — Terminated; Perm: Perm International Airport — Terminated; Rostov-on-Don: Rostov-on-Don Airport — Airport closed; Saint Petersburg: Pulkovo Airport — Terminated; Yekaterinburg: Koltsovo International Airport — Terminated; Saudi Arabia: Dammam (DMM) — King Fahd International Airport; Serbia: Belgrade (BEG) — Belgrade Nikola Tesla Airport; Slovenia: Ljubljana (LJU) — Ljubljana Airport; Spain: Barcelona (BCN) — Josep Tarradellas Barcelona–El Prat Airport; Ibiza: Ibiza Airport — Seasonal; Gran Canaria: Gran Canaria Airport — Seasonal; Málaga: Málaga Airport — Seasonal; Palma de Mallorca: Palma de Mallorca Airport — Seasonal; Seville: Seville Airport — Seasonal; Valencia: Valencia Airport — Seasonal; Sweden: Stockholm (ARN) — Stockholm Arlanda Airport; Gothenburg: Göteborg Landvetter Airport — Seasonal; Switzerland: Geneva (GVA) — Geneva Airport; Switzerland ; France ; Germany: Basel ; Mulhouse ; Freiburg (BSL) — EuroAirport Basel Mulhouse Freiburg; Tunisia: Tunis (TUN) — Tunis–Carthage International Airport; Mariupol: Mariupol International Airport — Terminated; United Arab Emirates: Abu Dhabi (AUH) — Zayed International Airport; Bristol: Bristol Airport — Terminated; London: Gatwick Airport — Seasonal; Newcastle upon Tyne: Newcastle International Airport — Terminated,aegeanair .com,Dimitrios Gerogiannis ( CEO ) ; Eftichios Vassilakis ( Chairman ),"3,131","Kifisia, Greece",Star Alliance,Miles+Bonus,€1.86 billion ( FY 2025 ),€218.2 million ( FY 2025 ),€148 million ( FY 2025 ),€3.213 billion ( FY 2025 ),€568.8 million ( FY 2025 ),2 January 1995 ( 1995-01-02 ); May 1999 ( 1999-05 )
Aer Lingus,EI,EIN,EI,65,111,SHAMROCK,https://images.planefinder.net/api/logo/EIN/w/256,https://en.wikipedia.org/wiki/Aer_Lingus,,Dublin Airport; Cork Airport,Austria: Vienna (VIE) — Vienna International Airport; Barbados: Bridgetown (BGI) — Grantley Adams International Airport; Belgium: Brussels (BRU) — Brussels Airport; Bulgaria: Burgas (BOJ) — Burgas Airport; Croatia: Dubrovnik (DBV) — Dubrovnik Airport; Pula: Pula Airport — Terminated; Split: Split Airport — Seasonal; Czech Republic: Prague (PRG) — Václav Havel Airport Prague; Rovaniemi: Rovaniemi Airport — Seasonal Charter; France: Bordeaux (BOD) — Bordeaux–Mérignac Airport; La Rochelle: La Rochelle–Île de Ré Airport — Terminated; Marseille: Marseille Provence Airport — Seasonal; Montpellier: Montpellier–Méditerranée Airport — Seasonal; Nantes: Nantes Atlantique Airport — Seasonal; Nice: Nice Côte d'Azur Airport — Seasonal; Perpignan: Perpignan–Rivesaltes Airport — Seasonal; Rennes: Rennes–Saint-Jacques Airport — Terminated; Tours: Tours Val de Loire Airport — Begins 6 June 2026; Germany: Berlin (BER) — Berlin Brandenburg Airport; Hanover: Hannover Airport — Terminated; Stuttgart: Stuttgart Airport — Terminated; Greece: Athens (ATH) — Athens International Airport; Corfu: Corfu International Airport — Seasonal; Heraklion: Heraklion International Airport — Seasonal; Rhodes: Rhodes International Airport — Terminated; Santorini: Santorini International Airport — Seasonal; Hungary: Budapest (BUD) — Budapest Ferenc Liszt International Airport; Ireland: Cork (ORK) — Cork Airport; Dublin: Dublin Airport — Hub; Galway: Galway Airport — Airport Closed; Kerry: Kerry Airport — Terminated; Sligo: Sligo Airport — Airport Closed; Waterford: Waterford Airport — Airport Closed; Isle of Man: Ronaldsway (IOM) — Isle of Man Airport; Brindisi: Brindisi Airport — Seasonal; Bologna: Bologna Guglielmo Marconi Airport — Terminated; Catania: Catania–Fontanarossa Airport — Seasonal; Naples: Naples International Airport — Seasonal; Pisa: Pisa International Airport — Seasonal; Turin: Turin Airport — Seasonal; Jersey: Jersey (JER) — Jersey Airport; Malta: Valletta (MLA) — Malta International Airport; Mexico: Cancún (CUN) — Cancún International Airport; Marrakesh: Marrakesh Menara Airport — Seasonal; Netherlands: Amsterdam (AMS) — Amsterdam Airport Schiphol; Eindhoven: Eindhoven Airport — Terminated; Norway: Tromso (TOS) — Tromso Airport; Oslo: Oslo Airport — Seasonal; Poland: Warsaw (WAW) — Warsaw Chopin Airport; Portugal: Faro (FAO) — Faro Airport; Madeira: Madeira Airport — Terminated; Spain: Alicante (ALC) — Alicante–Elche Miguel Hernández Airport; Asturias: Asturias Airport — Seasonal; Fuerteventura: Fuerteventura Airport — Seasonal; Palma de Mallorca: Palma de Mallorca Airport — Seasonal; Santiago de Compostela: Santiago–Rosalía de Castro Airport — Seasonal; Switzerland: Geneva (GVA) — Geneva Airport; İzmir: İzmir Adnan Menderes Airport — Seasonal; United Kingdom: Aberdeen (ABZ) — Aberdeen Airport; Blackpool: Blackpool Airport — Airport Closed; Bournemouth: Bournemouth Airport — Terminated; Derry: City of Derry Airport — Terminated; Doncaster / Sheffield: Doncaster Sheffield Airport — Airport Closed; London: Gatwick Airport — Terminated; Manchester: Manchester Barton Aerodrome — Terminated; Newquay: Newquay Airport — Seasonal; Teesside: Teesside International Airport — Terminated; Denver: Denver International Airport — Seasonal; Las Vegas: Harry Reid International Airport — Seasonal; Miami: Miami International Airport — Seasonal,www .aerlingus .com,Lynne Embleton ( CEO ),"4,500 approx (2020)","Cloghran , County Dublin, Ireland",,AerClub ; Avios,€ 467 million (2020),€ 305 million (2018),€ 205.5 million (2016),,,15 April 1936 ( 1936-04-15 ); 28 May 1936 ( 1936-05-28 )
Aer Lingus UK,EG,EUK,G,0,0,GREEN FLIGHT,https://images.planefinder.net/api/logo/EUK/w/256,https://en.wikipedia.org/wiki/Aer_Lingus_UK,GB 2471,Manchester Airport,Austria: Vienna (VIE) — Vienna International Airport; Barbados: Bridgetown (BGI) — Grantley Adams International Airport; Belgium: Brussels (BRU) — Brussels Airport; Bulgaria: Burgas (BOJ) — Burgas Airport; Croatia: Dubrovnik (DBV) — Dubrovnik Airport; Pula: Pula Airport — Terminated; Split: Split Airport — Seasonal; Czech Republic: Prague (PRG) — Václav Havel Airport Prague; Rovaniemi: Rovaniemi Airport — Seasonal Charter; France: Bordeaux (BOD) — Bordeaux–Mérignac Airport; La Rochelle: La Rochelle–Île de Ré Airport — Terminated; Marseille: Marseille Provence Airport — Seasonal; Montpellier: Montpellier–Méditerranée Airport — Seasonal; Nantes: Nantes Atlantique Airport — Seasonal; Nice: Nice Côte d'Azur Airport — Seasonal; Perpignan: Perpignan–Rivesaltes Airport — Seasonal; Rennes: Rennes–Saint-Jacques Airport — Terminated; Tours: Tours Val de Loire Airport — Begins 6 June 2026; Germany: Berlin (BER) — Berlin Brandenburg Airport; Hanover: Hannover Airport — Terminated; Stuttgart: Stuttgart Airport — Terminated; Greece: Athens (ATH) — Athens International Airport; Corfu: Corfu International Airport — Seasonal; Heraklion: Heraklion International Airport — Seasonal; Rhodes: Rhodes International Airport — Terminated; Santorini: Santorini International Airport — Seasonal; Hungary: Budapest (BUD) — Budapest Ferenc Liszt International Airport; Ireland: Cork (ORK) — Cork Airport; Dublin: Dublin Airport — Hub; Galway: Galway Airport — Airport Closed; Kerry: Kerry Airport — Terminated; Sligo: Sligo Airport — Airport Closed; Waterford: Waterford Airport — Airport Closed; Isle of Man: Ronaldsway (IOM) — Isle of Man Airport; Brindisi: Brindisi Airport — Seasonal; Bologna: Bologna Guglielmo Marconi Airport — Terminated; Catania: Catania–Fontanarossa Airport — Seasonal; Naples: Naples International Airport — Seasonal; Pisa: Pisa International Airport — Seasonal; Turin: Turin Airport — Seasonal; Jersey: Jersey (JER) — Jersey Airport; Malta: Valletta (MLA) — Malta International Airport; Mexico: Cancún (CUN) — Cancún International Airport; Marrakesh: Marrakesh Menara Airport — Seasonal; Netherlands: Amsterdam (AMS) — Amsterdam Airport Schiphol; Eindhoven: Eindhoven Airport — Terminated; Norway: Tromso (TOS) — Tromso Airport; Oslo: Oslo Airport — Seasonal; Poland: Warsaw (WAW) — Warsaw Chopin Airport; Portugal: Faro (FAO) — Faro Airport; Madeira: Madeira Airport — Terminated; Spain: Alicante (ALC) — Alicante–Elche Miguel Hernández Airport; Asturias: Asturias Airport — Seasonal; Fuerteventura: Fuerteventura Airport — Seasonal; Palma de Mallorca: Palma de Mallorca Airport — Seasonal; Santiago de Compostela: Santiago–Rosalía de Castro Airport — Seasonal; Switzerland: Geneva (GVA) — Geneva Airport; İzmir: İzmir Adnan Menderes Airport — Seasonal; United Kingdom: Aberdeen (ABZ) — Aberdeen Airport; Blackpool: Blackpool Airport — Airport Closed; Bournemouth: Bournemouth Airport — Terminated; Derry: City of Derry Airport — Terminated; Doncaster / Sheffield: Doncaster Sheffield Airport — Airport Closed; London: Gatwick Airport — Terminated; Manchester: Manchester Barton Aerodrome — Terminated; Newquay: Newquay Airport — Seasonal; Teesside: Teesside International Airport — Terminated; Denver: Denver International Airport — Seasonal; Las Vegas: Harry Reid International Airport — Seasonal; Miami: Miami International Airport — Seasonal,www .aerlingus .com,Eamon Kierans ( Director ),,"Belfast , Northern Ireland , United Kingdom",,AerClub ( Avios ),,,,,,"May 25, 2012 ( 2012-05-25 ); October 20, 2021 ( 2021-10-20 )"
Aercaribe,-,CPR,OB,5,0,,https://images.planefinder.net/api/logo/CPR/w/256,https://en.wikipedia.org/wiki/AerCaribe,,El Dorado International Airport,,www .aercaribe .com,Jorge Luis Almeira Quiroz,,"Bogotá , Colombia",,,,,,,,1997 ( 1997 ); 2006 ( 2006 )
Aero Charter,DW,UCR,UR,0,0,CHARTER UKRAINE,https://images.planefinder.net/api/logo/UCR/w/256,,,,,,,,,,,,,,,,
