Operator,Registration,Aircraft Type,MSN,Update Type,Status/Notes
Abu Dhabi Aviation,A6-ADD,Dash 8 (DHC-8 315),627,Update,Back in service 11/2021
Abu Dhabi Aviation,A6-ADE,Dash 8 (DHC-8 315),628,Update,Parked since 09/2021
ABX Air,N650GT,Boeing 767 (767-231BDSF),22566 (29),New,Delivery 02/10/2021  Ex Atlas Air N650GT
Aegean Airlines,SX-DGE,Airbus A320 (320-232),3990,Update,Parked since 09/2021
Aegean Airlines,SX-DGC,Airbus A320 (320-232),4094,Update,Parked since 10/2021
Aer Lingus,EI-CVA,Airbus A320 (320-214),1242,Update,In service
Aer Lingus,EI-DEI,Airbus A320 (320-214),2374,Update,Parked since 10/2021
Aer Lingus,EI-DEK,Airbus A320 (320-214),2399,Update,Parked since 09/2021
Aer Lingus,EI-DUZ,Airbus A330 (330-302),847,Delete,To Vueling Airlines as EI-DUZ 08/11/2021
Aero Nomad,EX-32003,Airbus A320 (320-232),1773,New,Delivery 15/10/2021  Ex Terra Avia ER-00021
Aero Technologies,N402AT,Embraer 135/145 (135LR),702,New,Delivery 01/11/2021  Ex Aero Technologies 2-AERO
Aero Technologies,2-AERO,Embraer 135/145 (135LR),702,Delete,To Aero Technologies as N402AT 01/11/2021
AeroContractors,LY-FJI,Airbus A320 (320-232),2157,Delete,To Heston Airlines as LY-FJI 23/10/2021
AeroContractors,LY-NZL,Airbus A320 (320-214),2388,New,Delivery 24/10/2021  Ex Heston Airlines LY-NZL
AeroContractors,LY-VUT,Airbus A320 (320-232),3275,Update,Parked since 09/2021
Aeroflot,VQ-BBC,Airbus A320 (320-214),3835,Delete,To Avianca as N955AV 09/11/2021
Aeroflot,VQ-BCM,Airbus A320 (320-214),3923,Update,Back in service 11/2021
Aeroflot,RA-89014,Sukhoi SuperJet 100 (100-95B),95025,Delete,To Rossiya as RA-89014 01/08/2021
Aeroflot,RA-89101,Sukhoi SuperJet 100 (100-95B),95139,Delete,To Rossiya as RA-89101 01/07/2021
Aeroflot,RA-89103,Sukhoi SuperJet 100 (100-95B),95142,Delete,To Rossiya as RA-89103 11/09/2021
Aeroflot,RA-89104,Sukhoi SuperJet 100 (100-95B),95144,Update,Back in service 11/2021
Aerolineas Argentinas,LV-CAD,Boeing 737 NG / Max (737-76N),32680 (2089),Update,Back in service 11/2021
Aeromexico,XA-MIA,Boeing 737 NG / Max (737-852),35119 (2273),Update,Returned to lessor 11/2021
Aeromexico,EI-GZA,Boeing 737 NG / Max (737-8MAX) 42837 (7456),New,Delivery 17/11/2021,
Aeromexico,XA-CCM,Boeing 737 NG / Max (737-8MAX) 43758 (8073),New,Delivery 27/10/2021,
Aeromexico Connect,XA-ALP,Embraer 190/195 (190LR),138,Update,Back in service 11/2021
Aeromexico Connect,XA-ALQ,Embraer 190/195 (190IGW),287,Update,Stored 08/2021
Aerovias DAP,CC-ANS,BAe 146 / Avro RJ (Bae Avro RJ85)2273,Update,Back in service 11/2021,
Air Albania,TC-JZG,Boeing 737 NG / Max (737-8F2),60028 (6078),Delete,To THY Turkish Airlines as TC-JZG 01/11/2021
Air Algerie,7T-VJV,Airbus A330 (330-202),644,Update,Back in service 11/2021
Air Algerie,7T-VJK,Boeing 737 NG / Max (737-8D6),30203 (640),Update,Back in service 11/2021
Air Arabia,A6-ANZ,Airbus A320 (320-214),6166,Update,Back in service 10/2021
Air Arabia,A6-AOB,Airbus A320 (320-214),6234,Update,Back in service 11/2021
Air Astana,EI-KBM,Airbus A320 (320-271N),10005,New,Delivery 23/10/2021  Ex Air Astana P4-KBM
Air Astana,P4-KBM,Airbus A320 (320-271N),10005,Delete,To Air Astana as EI-KBM 23/10/2021
Air Astana,EI-KBK,Airbus A320 (320-271N),9459,New,Delivery 12/11/2021  Ex Air Astana P4-KBK
Air Astana,P4-KBK,Airbus A320 (320-271N),9459,Delete,To Air Astana as EI-KBK 12/11/2021
Air Astana,EI-KBL,Airbus A320 (320-271N),9574,New,Delivery 11/11/2021  Ex Air Astana P4-KBL
Air Astana,P4-KBL,Airbus A320 (320-271N),9574,Delete,To Air Astana as EI-KBL 11/11/2021
Air Astana,EI-KDA,Airbus A321 (321-231),5357,New,Delivery 22/10/2021  Ex Air Astana P4-KDA
Air Astana,P4-KDA,Airbus A321 (321-231),5357,Delete,To Air Astana as EI-KDA 22/10/2021
Air Astana,EI-KHA,Embraer 190/195 (190-E2),20012,New,Delivery 22/10/2021  Ex Air Astana P4-KHA
Air Astana,P4-KHA,Embraer 190/195 (190-E2),20012,Delete,To Air Astana as EI-KHA 22/10/2021
Air Atlanta Icelandic,TF-LFC,Airbus A340 (340-642),440,New,Delivery 03/11/2021  Ex Air X Charter 9H-LFC
Air Atlanta Icelandic,TF-AMN,Boeing 747 (747-4F6BDSF),27602 (1161),Update,Back in service 11/2021
Air Atlanta Icelandic,TF-AAK,Boeing 747 (747-428),32868 (1325),New,Delivery 22/10/2021  Ex Saudi Arabian Airlines TF-AAK
Air Austral,F-OLAV,Airbus A220 (220-371),55106,Update,Back in service 11/2021
Air Austral,F-OMER,Airbus A220 (220-371),55116,Update,Back in service 11/2021
Air Baltic,YL-CSK,Airbus A220 (CS300),55039,Update,Parked since 10/2021
Air Baltic,YL-CSN,Airbus A220 (CS300),55043,Update,Parked since 09/2021
Air Baltic,YL-AAV,Airbus A220 (220-371),55071,Update,Parked since 08/2021
Air Busan,HL8357,Airbus A321 (321-251NX),10412,New,Delivery 29/10/2021
Air Cairo,SU-BSN,Airbus A320 (320-214),3840,Delete,To Air41 Airways as 9A-SHO 19/11/2021
Air Caledonie,F-OZIP,ATR 42/72 (72-600),1355,Update,Back in service 11/2021
Air Caledonie,F-OZLI,ATR 42/72 (72-600),1380,Update,Back in service 10/2021
Air Canada,C-GQCA,Airbus A320 (320-211),210,Delete,To Su Airlines as C5-SUA 06/11/2021
Air Canada,C-FMSX,Airbus A320 (320-211),378,Update,Back in service 11/2021
Air Canada,C-GEKH,Boeing 737 NG / Max (737-8MAX) 61231 (7449),New,Delivery 27/10/2021,
Air Canada,C-GMIU,Boeing 737 NG / Max (737-8MAX) 61260 (8016),New,Delivery 02/11/2021,
Air Canada Rouge,C-GITR,Airbus A319 (319-112),1577,Update,Back in service 11/2021
