Name,IATA Code,ICAO Code,Prefix,Fleet Size,Destinations,Callsign,Logo URL,Wikipedia URL
40 Mile Air,Q5,MLA,N,1,3,,https://images.planefinder.net/api/logo/MLA/w/256,http://www.fortymileair.com/
9 Air,AQ,JYH,B,27,65,TRANS JADE,https://images.planefinder.net/api/logo/JYH/w/256,https://en.wikipedia.org/wiki/9_Air
Abelag Aviation,W9,AAB,OO,15,55,ABG,https://images.planefinder.net/api/logo/AAB/w/256,https://en.wikipedia.org/wiki/Abelag_Aviation
ABX Air,GB,ABX,N,27,0,ABX,https://images.planefinder.net/api/logo/ABX/w/256,http://en.wikipedia.org/wiki/Abx_Air
ACT Airlines,9T,RUN,TC,0,0,CARGO TURK,https://images.planefinder.net/api/logo/RUN/w/256,http://en.wikipedia.org/wiki/MyCargo_Airlines
Aegean Airlines,A3,AEE,SX,70,119,AEGEAN,https://images.planefinder.net/api/logo/AEE/w/256,http://en.wikipedia.org/wiki/Aegean_Airlines
Aer Lingus,EI,EIN,EI,65,111,SHAMROCK,https://images.planefinder.net/api/logo/EIN/w/256,http://en.wikipedia.org/wiki/Aer_lingus
Aer Lingus UK,EG,EUK,G,0,0,GREEN FLIGHT,https://images.planefinder.net/api/logo/EUK/w/256,https://en.wikipedia.org/wiki/Aer_Lingus_UK
Aercaribe,-,CPR,OB,5,0,,https://images.planefinder.net/api/logo/CPR/w/256,http://aercaribe.com/aercaribe-peru/
Aero Charter,DW,UCR,UR,0,0,CHARTER UKRAINE,https://images.planefinder.net/api/logo/UCR/w/256,http://en.wikipedia.org/wiki/Aero_Charter
Aero Express Del Ecuador,7T,RTM,HC,0,0,AERO TRANSAM,https://images.planefinder.net/api/logo/RTM/w/256,http://en.wikipedia.org/wiki/DHL_Ecuador
Aero Mongolia,M0,MNG,JU,4,4,AERO MONGOLIA,https://images.planefinder.net/api/logo/MNG/w/256,http://en.wikipedia.org/wiki/Aero_Mongolia
Aero-Dienst,-,ADN,D,7,0,AERODIENST,https://images.planefinder.net/api/logo/ADN/w/256,https://en.wikipedia.org/wiki/Aero-Dienst
Aerobratsk,-,BRP,RA,7,0,AEROBRA,https://images.planefinder.net/api/logo/BRP/w/256,http://en.wikipedia.org/wiki/AeroBratsk
Aerocontractors,NG,NIG,5N,4,2,AEROLINE,https://images.planefinder.net/api/logo/NIG/w/256,http://en.wikipedia.org/wiki/Aero_Contractors_(Nigeria)
Aeroflot Russian Airlines,SU,AFL,RA,174,104,AEROFLOT,https://images.planefinder.net/api/logo/AFL/w/256,http://en.wikipedia.org/wiki/Aeroflot_Russian_Airlines
Aerogaviota,KG,GTV,CU,23,19,GAVIOTA,https://images.planefinder.net/api/logo/GTV/w/256,http://en.wikipedia.org/wiki/Aerogaviota
Aeroitalia,XZ,AEZ,I,14,28,AEROITALIA,https://images.planefinder.net/api/logo/AEZ/w/256,https://en.wikipedia.org/wiki/AeroItalia
Aerolíneas Argentinas,AR,ARG,LV,82,61,ARGENTINA,https://images.planefinder.net/api/logo/ARG/w/256,http://en.wikipedia.org/wiki/Aerol%C3%ADneas_Argentinas
Aerolíneas Estelar,ES,ETR,YV,6,11,ESTELAR,https://images.planefinder.net/api/logo/ETR/w/256,https://en.wikipedia.org/wiki/Estelar_Latinoamerica
Aerolíneas Sosa,S0,NSO,,5,4,SOSA,https://images.planefinder.net/api/logo/NSO/w/256,http://en.wikipedia.org/wiki/Aerol%C3%ADneas_Sosa
Aerolink Uganda,A8,XAU,5X,2,4,PEARL,https://images.planefinder.net/api/logo/XAU/w/256,
Aerologic,3S,BOX,D,28,0,GERMAN CARGO,https://images.planefinder.net/api/logo/BOX/w/256,http://en.wikipedia.org/wiki/Aerologic
Aeromexico,AM,AMX,XA,140,103,AEROMEXICO,https://images.planefinder.net/api/logo/AMX/w/256,http://en.wikipedia.org/wiki/Aeromexico
Aeromexico Connect,5D,SLI,XA,0,0,COSTERA,https://images.planefinder.net/api/logo/SLI/w/256,http://en.wikipedia.org/wiki/Aerom%C3%A9xico_Connect
Aeronaves TSM,-,VTM,XA,96,0,AERONAVES TSM,https://images.planefinder.net/api/logo/VTM/w/256,https://en.wikipedia.org/wiki/Aeronaves_TSM
Aeropostal – Alas de Venezuela,CW,ALV,YV,1,0,AEROPOSTAL,https://images.planefinder.net/api/logo/ALV/w/256,http://en.wikipedia.org/wiki/Aeropostal_Alas_de_Venezuela
AeroSucre,6N,KRE,HK,7,0,AEROSUCRE,https://images.planefinder.net/api/logo/KRE/w/256,http://en.wikipedia.org/wiki/Aerosucre
Aerotrans Cargo,F5,ATG,ER,0,0,MOLDCARGO,https://images.planefinder.net/api/logo/ATG/w/256,
AeroUnion,6R,TNO,XA,3,10,AEROUNION,https://images.planefinder.net/api/logo/TNO/w/256,http://en.wikipedia.org/wiki/AeroUnion
Aerovías DAP,V5,DAP,CC,11,3,DAP,https://images.planefinder.net/api/logo/DAP/w/256,http://en.wikipedia.org/wiki/Aerov%C3%ADas_DAP
Aerus,ZV,RFD,XA,3,18,RAFILHER,https://images.planefinder.net/api/logo/RFD/w/256,https://en.wikipedia.org/wiki/Aerus_(airline)
Africa World Airlines,AW,AFW,9G,8,7,BLACKSTAR,https://images.planefinder.net/api/logo/AFW/w/256,http://en.wikipedia.org/wiki/Africa_World_Airlines
African Express Airways,XU,AXK,5Y,0,0,EXPRESS JET,https://images.planefinder.net/api/logo/AXK/w/256,http://en.wikipedia.org/wiki/African_Express_Airways
Afrijet Business Service,J7,ABS,TR,3,20,,https://images.planefinder.net/api/logo/ABS/w/256,http://afrijet.com/
Afriqiyah Airways,8U,AAW,5A,7,0,AFRIQIYAH,https://images.planefinder.net/api/logo/AAW/w/256,http://en.wikipedia.org/wiki/Afriqiyah_Airways
Air Albania,ZB,ABN,ZA,0,0,AIR ALBANIA,https://images.planefinder.net/api/logo/ABN/w/256,https://en.wikipedia.org/wiki/Air_Albania
Air Algérie,AH,DAH,7T,60,93,AIR ALGERIE,https://images.planefinder.net/api/logo/DAH/w/256,http://en.wikipedia.org/wiki/Air_Alg%C3%A9rie
Air Alliance Express,-,AYY,D,15,0,LUPUS,https://images.planefinder.net/api/logo/AYY/w/256,https://de.wikipedia.org/wiki/Air_Alliance_Express
Air Anka,6K,TAH,TC,3,0,AIR ANKA,https://images.planefinder.net/api/logo/TAH/w/256,https://en.wikipedia.org/wiki/Air_Anka
Air Antilles,3S,GUY,F-O,1,0,GREEN BIRD,https://images.planefinder.net/api/logo/GUY/w/256,https://en.wikipedia.org/wiki/Air_Antilles
Air Arabia,G9,ABY,A6,58,90,ARABIA,https://images.planefinder.net/api/logo/ABY/w/256,http://en.wikipedia.org/wiki/Air_Arabia
Air Arabia Abu Dhabi,3L,ADY,A6,12,32,NAWRAS,https://images.planefinder.net/api/logo/ADY/w/256,https://en.wikipedia.org/wiki/Air_Arabia_Abu_Dhabi
