id,name,legal_name,trading_name,iata_code,icao_code,prefix,callsign,fleet_size,destinations_count,logo_url,wikipedia_url,website_url,hubs,alliance,employees,headquarters,founded,status_bucket,country_code,key_personnel,detailed_destinations
5180,10 Tanker Air Carrier,NULL,NULL,,,,,4,,,,,,,,Americas,,active,US,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5181,1384 Charter,NULL,NULL,,,,,,,,,,,,,Americas,,active,US,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5384,1Time,NULL,NULL,,,,,,,,,,,,,Africa,,active,ZA,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5182,21 Air,NULL,NULL,,,,,19,,,,,,,,Americas,,active,US,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2028,2Excel Aviation,NULL,NULL,,EXL,,,0,0,,,,,,,Europe,,active,GB,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
202,360 Aviation Austria,NULL,NULL,,,,,,,,,,,,,Other,,active,AT,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
3359,4 Airways,NULL,NULL,,,,,3,,,,,,,,Europe,,active,MT,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
75,4 Island Air Services,NULL,NULL,,,,,,,,,,,,,Americas,,active,AG,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
3302,40 Mile Air,NULL,NULL,Q5,MLA,N,,1,3,https://images.planefinder.net/api/logo/MLA/w/256,https://en.wikipedia.org/wiki/Chisana_Airport,,,,,Europe,,active,MT,,"Tok, AK,  (TKJ)"
4027,4You Airlines,NULL,NULL,,,,,,,,,,,,,Europe,,active,PL,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2902,748 Air Services,NULL,NULL,,,,,13,,,,,,,,Africa,,active,KE,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5183,7Air Cargo,NULL,NULL,,,,,4,,,,,,,,Americas,,active,US,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
3068,7th sky airlines,NULL,NULL,,,,,,,,,,,,,Asia,,active,KZ,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2806,9 Air,NULL,NULL,AQ,JYH,B,TRANS JADE,27,65,https://images.planefinder.net/api/logo/JYH/w/256,https://en.wikipedia.org/wiki/9_Air,9air.com,,,,Asia,"February 12, 2014 ( 2014-02-12 ); December 2, 2014 ( 2014-12-02 )",active,JO,,
3958,A. Soriano Aviation,NULL,NULL,,,,,,,,,,,,,Asia,,active,PH,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5184,AAI - Alaska Aeronautical Industries,NULL,NULL,,,,,,,,,,,,,Americas,,active,US,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
3022,AB Aviation,NULL,NULL,,,,,,,,,,,,,Africa,,active,KM,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5185,AB Jets,NULL,NULL,,,,,2,,,,,,,,Americas,,active,US,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4251,Abakan-Avia,NULL,NULL,,,,,,,,,,,,,Europe,,active,RU,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2290,ABC Air Hungary,NULL,NULL,,,,,,,,,,,,,Europe,,active,HU,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
117,ABC Commuter Airways,NULL,NULL,,,,,,,,,,,,,Americas,,active,AN,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5186,ABCO Aviation,NULL,NULL,,,,,,,,,,,,,Americas,,active,US,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
417,Abelag Aviation,NULL,NULL,,,,,,,,,abelag.com,,,,Europe,1964,active,BE,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2903,Aberdair Aviation,NULL,NULL,,,,,,,,,,,,,Africa,,active,KE,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
1303,ABS Jets,NULL,NULL,,,,,5,,,,,,,,Other,,active,CZ,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
564,ABSA Cargo,NULL,NULL,,,,,,,,,,,,,Americas,,active,BR,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5385,Absil Air Services,NULL,NULL,,,,,,,,,,,,,Africa,,active,ZA,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
72,Abu Dhabi Aviation,NULL,NULL,,,,,4,,,,,,,,Asia,,active,AE,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5187,ABX Air,NULL,NULL,,,,,37,,,,www .abxair .com,,,,Americas,April 1980 ( April 1980 ),active,US,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
780,ACASS Canada,NULL,NULL,,,,,1,,,,,,,,Americas,,active,CA,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4660,ACASS San Marino,NULL,NULL,,,,,1,,,,,,,,Europe,,active,SM,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5188,Access Air,NULL,NULL,,,,,,,,,,,,,Americas,,active,US,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
418,ACE - Air Charters Europe,NULL,NULL,,,,,4,,,,,,,,Europe,,active,BE,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5189,ACE - Alaska Central Express,NULL,NULL,,,,,,,,,,,,,Americas,,active,US,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
419,ACE Belgium Freighters,NULL,NULL,,,,,,,,,,,,,Europe,,active,BE,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
