Name,IATA,ICAO,HQ,Bases,Destinations,Callsign,Country Code,Website,Key Personnel,Employees,Revenue,Profit,Fleet Size,Fleet Type,Destination Names,Alliance,Frequent Flyer Programs,Codeshare Agreements,Interline Agreements,Founded,Operating Bases,Parent Company,Focus Cities,Subsidiaries,Careers Link,Wikipedia URL
40 Mile Air,Q5,MLA,,,3,,,,,,,,1,,"Tok, AK (TKJ)  Tok Airport",,,,,,,,,,,https://en.wikipedia.org/wiki/Chisana_Airport
9 Air,AQ,JYH,"Guangzhou , Guangdong , China",Guangzhou Baiyun International Airport,65,TRANS JADE,,9air .com,,,,,27,,,,,,,"February 12, 2014 ( 2014-02-12 ); December 2, 2014 ( 2014-12-02 )",Guangzhou Baiyun International Airport,,,,,https://en.wikipedia.org/wiki/9_Air
Abelag Aviation,W9,AAB,"Zaventem , Belgium",Brussels Airport,55,ABG,,abelag.com,Ward Bonduel ( CEO ),,,,15,,,,,,,1964,Brussels Airport,,,,,https://en.wikipedia.org/wiki/Abelag_Aviation
ABX Air,GB,ABX,"Wilmington Air Park ; Clinton County, Ohio , U.S.",Cincinnati/Northern Kentucky International Airport ; Miami International Airport,0,ABX,,www .abxair .com,"John Maloney (President) ; Brant Venice (Chief Operating Officer ; Bob Boja (Vice President of Flight Operations) ; Rob Davis (Vice President, Aircraft Maintenance)",,,,27,,,,,,,April 1980 ( April 1980 ),Cincinnati/Northern Kentucky International Airport ; Miami International Airport,,,,,https://en.wikipedia.org/wiki/ABX_Air
ACT Airlines,9T,RUN,"Istanbul , Turkey",Sabiha Gken International Airport; Istanbul Airport,0,CARGO TURK,,actairlines .com,Daglar izmeci ( CEO ) ; Gunes Namoler (Managing Director),,,,0,,,,,,,2004 ( 2004 ),Sabiha Gken International Airport; Istanbul Airport,,,,,https://en.wikipedia.org/wiki/Air_ACT
Aegean Airlines,A3,AEE,"Kifisia, Greece",Athens ; Thessaloniki; Chania ; Heraklion ; Kalamata ; Larnaca ; Rhodes,119,AEGEAN,,aegeanair .com,Dimitrios Gerogiannis ( CEO ) ; Eftichios Vassilakis ( Chairman ),"3,131",1.86 billion ( FY 2025 ),148 million ( FY 2025 ),70,,Albania: Tirana (TIA)  Tirana International Airport Nn Tereza; Armenia: Yerevan (EVN)  Zvartnots International Airport; Austria: Innsbruck (INN)  Innsbruck Airport; Azerbaijan: Baku (GYD)  Heydar Aliyev International Airport; Belgium: Brussels (BRU)  Brussels Airport; Bosnia and Herzegovina: Banja Luka (BNX)  Banja Luka International Airport; Sarajevo: Sarajevo International Airport  Seasonal; Bulgaria: Sofia (SOF)  Vasil Levski Sofia Airport; Croatia: Dubrovnik (DBV)  Dubrovnik Airport; Split: Split Airport  Seasonal; Zadar: Zadar Airport  Terminated; Cyprus: Larnaca (LCA)  Larnaca International Airport; Paphos: Paphos International Airport  Terminated; Czech Republic: Prague (PRG)  Vclav Havel Airport Prague; Egypt: Alexandria (HBE)  Borg El Arab International Airport; Luxor: Luxor International Airport  Seasonal; Sharm El Sheikh: Sharm El Sheikh International Airport  Seasonal; Estonia: Tallinn (TLL)  Tallinn Airport; Finland: Helsinki (HEL)  Helsinki Airport; Oulu: Oulu Airport  Seasonal charter; France: Bordeaux (BOD)  BordeauxMrignac Airport; Brest: Brest Bretagne Airport  Seasonal; Deauville: DeauvilleNormandie Airport  Seasonal; Dole: DoleJura Airport  Terminated; Lille: Lille Airport  Seasonal; Lyon: LyonSaint-Exupry Airport  Seasonal; Marseille: Marseille Provence Airport  Seasonal; Metz / Nancy: MetzNancyLorraine Airport  Seasonal; Nantes: Nantes Atlantique Airport  Seasonal; Toulouse: ToulouseBlagnac Airport  Seasonal; Georgia: Tbilisi (TBS)  Tbilisi International Airport; Germany: Berlin (BER)  Berlin Brandenburg Airport; Bremen: Bremen Airport  Seasonal charter; Erfurt: ErfurtWeimar Airport  Seasonal charter; Friedrichshafen: Friedrichshafen Airport  Seasonal charter; Hanover: Hannover Airport  Seasonal; Karlsruhe: Karlsruhe/Baden-Baden Airport  Terminated; Kassel: Kassel Airport  Terminated; Memmingen: Memmingen Airport  Seasonal charter; Mnster: Mnster Osnabrck Airport  Seasonal charter; Nuremberg: Nuremberg Airport  Seasonal; Greece: Alexandroupoli (AXD)  Alexandroupoli Airport; Athens: Athens International Airport  Hub; Chania: Chania International Airport  Focus city; Heraklion: Heraklion International Airport  Focus city; Kalamata: Kalamata International Airport  Focus city; Sitia: Sitia Public Airport  Terminated; Skyros: Skyros Island National Airport  Terminated; Thessaloniki: Thessaloniki Airport  Hub; Zakynthos: Zakynthos International Airport  Terminated; Hungary: Budapest (BUD)  Budapest Ferenc Liszt International Airport; India: Delhi (DEL)  Indira Gandhi International Airport; Mumbai: Chhatrapati Shivaji Maharaj International Airport  Begins May 2026; Iraq: Baghdad (BGW)  Baghdad International Airport; Ireland: Dublin (DUB)  Dublin Airport; Israel: Tel Aviv (TLV)  Ben Gurion Airport; Catania: CataniaFontanarossa Airport  Seasonal; Genoa: Genoa Cristoforo Colombo Airport  Terminated; Lamezia Terme: Lamezia Terme International Airport  Terminated; Milan: Milan Linate Airport  Terminated; Olbia: Olbia Costa Smeralda Airport  Seasonal; Palermo: Falcone Borsellino Airport  Seasonal; Pisa: Pisa International Airport  Seasonal; Turin: Turin Airport  Terminated; Verona: Verona Villafranca Airport  Terminated; Jordan: Amman (AMM)  Queen Alia International Airport; Kuwait: Kuwait City (KWI)  Kuwait International Airport; Latvia: Riga (RIX)  Riga International Airport; Lebanon: Beirut (BEY)  BeirutRafic Hariri International Airport; Lithuania: Vilnius (VNO)  Vilnius iurlionis International Airport; Luxembourg: Luxembourg City (LUX)  Luxembourg Airport; Malta: Valletta (MLA)  Malta International Airport; Moldova: Chiinu (RMO)  Chiinu Eugen Doga International Airport; Montenegro: Podgorica (TGD)  Podgorica Airport; Netherlands: Amsterdam (AMS)  Amsterdam Airport Schiphol; Norway: Kristiansand (KRS)  Kristiansand Airport; Poland: Krakw (KRK)  Krakw John Paul II International Airport; Portugal: Lisbon (LIS)  Lisbon Airport; North Macedonia: Skopje (SKP)  Skopje International Airport; Romania: Braov (GHV)  Braov-Ghimbav International Airport; Cluj-Napoca: Cluj International Airport  Terminated; Nizhny Novgorod: Nizhny Novgorod International Airport  Terminated; Perm: Perm International Airport  Terminated; Rostov-on-Don: Rostov-on-Don Airport  Airport closed; Saint Petersburg: Pulkovo Airport  Terminated; Yekaterinburg: Koltsovo International Airport  Terminated; Saudi Arabia: Dammam (DMM)  King Fahd International Airport; Serbia: Belgrade (BEG)  Belgrade Nikola Tesla Airport; Slovenia: Ljubljana (LJU)  Ljubljana Airport; Spain: Barcelona (BCN)  Josep Tarradellas BarcelonaEl Prat Airport; Ibiza: Ibiza Airport  Seasonal; Gran Canaria: Gran Canaria Airport  Seasonal; Mlaga: Mlaga Airport  Seasonal; Palma de Mallorca: Palma de Mallorca Airport  Seasonal; Seville: Seville Airport  Seasonal; Valencia: Valencia Airport  Seasonal; Sweden: Stockholm (ARN)  Stockholm Arlanda Airport; Gothenburg: Gteborg Landvetter Airport  Seasonal; Switzerland: Geneva (GVA)  Geneva Airport; Switzerland ; France ; Germany: Basel ; Mulhouse ; Freiburg (BSL)  EuroAirport Basel Mulhouse Freiburg; Tunisia: Tunis (TUN)  TunisCarthage International Airport; Mariupol: Mariupol International Airport  Terminated; United Arab Emirates: Abu Dhabi (AUH)  Zayed International Airport; Bristol: Bristol Airport  Terminated; London: Gatwick Airport  Seasonal; Newcastle upon Tyne: Newcastle International Airport  Terminated,Star Alliance,Miles+Bonus,,,2 January 1995 ( 1995-01-02 ); May 1999 ( 1999-05 ),Athens ; Thessaloniki; Chania ; Heraklion ; Kalamata ; Larnaca ; Rhodes,,,,,https://en.wikipedia.org/wiki/Aegean_Airlines
Aer Lingus,EI,EIN,"Cloghran , County Dublin, Ireland",Dublin Airport; Cork Airport,111,SHAMROCK,,www .aerlingus .com,Lynne Embleton ( CEO ),"4,500 approx (2020)", 467 million (2020), 205.5 million (2016),65,,Austria: Vienna (VIE)  Vienna International Airport; Barbados: Bridgetown (BGI)  Grantley Adams International Airport; Belgium: Brussels (BRU)  Brussels Airport; Bulgaria: Burgas (BOJ)  Burgas Airport; Croatia: Dubrovnik (DBV)  Dubrovnik Airport; Pula: Pula Airport  Terminated; Split: Split Airport  Seasonal; Czech Republic: Prague (PRG)  Vclav Havel Airport Prague; Rovaniemi: Rovaniemi Airport  Seasonal Charter; France: Bordeaux (BOD)  BordeauxMrignac Airport; La Rochelle: La Rochellele de R Airport  Terminated; Marseille: Marseille Provence Airport  Seasonal; Montpellier: MontpellierMditerrane Airport  Seasonal; Nantes: Nantes Atlantique Airport  Seasonal; Nice: Nice Cte d'Azur Airport  Seasonal; Perpignan: PerpignanRivesaltes Airport  Seasonal; Rennes: RennesSaint-Jacques Airport  Terminated; Tours: Tours Val de Loire Airport  Begins 6 June 2026; Germany: Berlin (BER)  Berlin Brandenburg Airport; Hanover: Hannover Airport  Terminated; Stuttgart: Stuttgart Airport  Terminated; Greece: Athens (ATH)  Athens International Airport; Corfu: Corfu International Airport  Seasonal; Heraklion: Heraklion International Airport  Seasonal; Rhodes: Rhodes International Airport  Terminated; Santorini: Santorini International Airport  Seasonal; Hungary: Budapest (BUD)  Budapest Ferenc Liszt International Airport; Ireland: Cork (ORK)  Cork Airport; Dublin: Dublin Airport  Hub; Galway: Galway Airport  Airport Closed; Kerry: Kerry Airport  Terminated; Sligo: Sligo Airport  Airport Closed; Waterford: Waterford Airport  Airport Closed; Isle of Man: Ronaldsway (IOM)  Isle of Man Airport; Brindisi: Brindisi Airport  Seasonal; Bologna: Bologna Guglielmo Marconi Airport  Terminated; Catania: CataniaFontanarossa Airport  Seasonal; Naples: Naples International Airport  Seasonal; Pisa: Pisa International Airport  Seasonal; Turin: Turin Airport  Seasonal; Jersey: Jersey (JER)  Jersey Airport; Malta: Valletta (MLA)  Malta International Airport; Mexico: Cancn (CUN)  Cancn International Airport; Marrakesh: Marrakesh Menara Airport  Seasonal; Netherlands: Amsterdam (AMS)  Amsterdam Airport Schiphol; Eindhoven: Eindhoven Airport  Terminated; Norway: Tromso (TOS)  Tromso Airport; Oslo: Oslo Airport  Seasonal; Poland: Warsaw (WAW)  Warsaw Chopin Airport; Portugal: Faro (FAO)  Faro Airport; Madeira: Madeira Airport  Terminated; Spain: Alicante (ALC)  AlicanteElche Miguel Hernndez Airport; Asturias: Asturias Airport  Seasonal; Fuerteventura: Fuerteventura Airport  Seasonal; Palma de Mallorca: Palma de Mallorca Airport  Seasonal; Santiago de Compostela: SantiagoRosala de Castro Airport  Seasonal; Switzerland: Geneva (GVA)  Geneva Airport; zmir: zmir Adnan Menderes Airport  Seasonal; United Kingdom: Aberdeen (ABZ)  Aberdeen Airport; Blackpool: Blackpool Airport  Airport Closed; Bournemouth: Bournemouth Airport  Terminated; Derry: City of Derry Airport  Terminated; Doncaster / Sheffield: Doncaster Sheffield Airport  Airport Closed; London: Gatwick Airport  Terminated; Manchester: Manchester Barton Aerodrome  Terminated; Newquay: Newquay Airport  Seasonal; Teesside: Teesside International Airport  Terminated; Denver: Denver International Airport  Seasonal; Las Vegas: Harry Reid International Airport  Seasonal; Miami: Miami International Airport  Seasonal,,AerClub ; Avios,,,15 April 1936 ( 1936-04-15 ); 28 May 1936 ( 1936-05-28 ),Dublin Airport; Cork Airport,,,,,https://en.wikipedia.org/wiki/Aer_Lingus
Aer Lingus UK,EG,EUK,"Belfast , Northern Ireland , United Kingdom",Manchester Airport,0,GREEN FLIGHT,,www .aerlingus .com,Eamon Kierans ( Director ),,,,0,,Austria: Vienna (VIE)  Vienna International Airport; Barbados: Bridgetown (BGI)  Grantley Adams International Airport; Belgium: Brussels (BRU)  Brussels Airport; Bulgaria: Burgas (BOJ)  Burgas Airport; Croatia: Dubrovnik (DBV)  Dubrovnik Airport; Pula: Pula Airport  Terminated; Split: Split Airport  Seasonal; Czech Republic: Prague (PRG)  Vclav Havel Airport Prague; Rovaniemi: Rovaniemi Airport  Seasonal Charter; France: Bordeaux (BOD)  BordeauxMrignac Airport; La Rochelle: La Rochellele de R Airport  Terminated; Marseille: Marseille Provence Airport  Seasonal; Montpellier: MontpellierMditerrane Airport  Seasonal; Nantes: Nantes Atlantique Airport  Seasonal; Nice: Nice Cte d'Azur Airport  Seasonal; Perpignan: PerpignanRivesaltes Airport  Seasonal; Rennes: RennesSaint-Jacques Airport  Terminated; Tours: Tours Val de Loire Airport  Begins 6 June 2026; Germany: Berlin (BER)  Berlin Brandenburg Airport; Hanover: Hannover Airport  Terminated; Stuttgart: Stuttgart Airport  Terminated; Greece: Athens (ATH)  Athens International Airport; Corfu: Corfu International Airport  Seasonal; Heraklion: Heraklion International Airport  Seasonal; Rhodes: Rhodes International Airport  Terminated; Santorini: Santorini International Airport  Seasonal; Hungary: Budapest (BUD)  Budapest Ferenc Liszt International Airport; Ireland: Cork (ORK)  Cork Airport; Dublin: Dublin Airport  Hub; Galway: Galway Airport  Airport Closed; Kerry: Kerry Airport  Terminated; Sligo: Sligo Airport  Airport Closed; Waterford: Waterford Airport  Airport Closed; Isle of Man: Ronaldsway (IOM)  Isle of Man Airport; Brindisi: Brindisi Airport  Seasonal; Bologna: Bologna Guglielmo Marconi Airport  Terminated; Catania: CataniaFontanarossa Airport  Seasonal; Naples: Naples International Airport  Seasonal; Pisa: Pisa International Airport  Seasonal; Turin: Turin Airport  Seasonal; Jersey: Jersey (JER)  Jersey Airport; Malta: Valletta (MLA)  Malta International Airport; Mexico: Cancn (CUN)  Cancn International Airport; Marrakesh: Marrakesh Menara Airport  Seasonal; Netherlands: Amsterdam (AMS)  Amsterdam Airport Schiphol; Eindhoven: Eindhoven Airport  Terminated; Norway: Tromso (TOS)  Tromso Airport; Oslo: Oslo Airport  Seasonal; Poland: Warsaw (WAW)  Warsaw Chopin Airport; Portugal: Faro (FAO)  Faro Airport; Madeira: Madeira Airport  Terminated; Spain: Alicante (ALC)  AlicanteElche Miguel Hernndez Airport; Asturias: Asturias Airport  Seasonal; Fuerteventura: Fuerteventura Airport  Seasonal; Palma de Mallorca: Palma de Mallorca Airport  Seasonal; Santiago de Compostela: SantiagoRosala de Castro Airport  Seasonal; Switzerland: Geneva (GVA)  Geneva Airport; zmir: zmir Adnan Menderes Airport  Seasonal; United Kingdom: Aberdeen (ABZ)  Aberdeen Airport; Blackpool: Blackpool Airport  Airport Closed; Bournemouth: Bournemouth Airport  Terminated; Derry: City of Derry Airport  Terminated; Doncaster / Sheffield: Doncaster Sheffield Airport  Airport Closed; London: Gatwick Airport  Terminated; Manchester: Manchester Barton Aerodrome  Terminated; Newquay: Newquay Airport  Seasonal; Teesside: Teesside International Airport  Terminated; Denver: Denver International Airport  Seasonal; Las Vegas: Harry Reid International Airport  Seasonal; Miami: Miami International Airport  Seasonal,,AerClub ( Avios ),,,"May 25, 2012 ( 2012-05-25 ); October 20, 2021 ( 2021-10-20 )",Manchester Airport,,,,,https://en.wikipedia.org/wiki/Aer_Lingus_UK
Aercaribe,-,CPR,"Bogot , Colombia",El Dorado International Airport,0,,,www .aercaribe .com,Jorge Luis Almeira Quiroz,,,,5,,,,,,,1997 ( 1997 ); 2006 ( 2006 ),El Dorado International Airport,,,,,https://en.wikipedia.org/wiki/AerCaribe
Aero Charter,DW,UCR,,,0,CHARTER UKRAINE,,,,,,,0,,,,,,,,,,,,,
