IATA,ICAO,Primary_Livery_URL,LOPA_Template_URL,Cockpit_Reference_URL
100,100,,,
141,141,,,
142,142,,,
143,143,,,
146,146,,,
14F,14F,,,
14X,14X,,,
14Y,14Y,,,
14Z,14Z,,,
19D,19D,,,
221,221,,,
223,223,,,
290,290,,,
295,295,,,
310,310,,,
312,312,,,
313,313,,,
318,318,,,
319,319,,,
31F,31F,,,
31N,31N,,,
31W,31W,,,
31X,31X,,,
31Y,31Y,,,
320,320,,,
321,321,,,
32A,32A,,,
32B,32B,,,
32C,32C,,,
32D,32D,,,
32F,32F,,,
32N,32N,,,
32Q,32Q,,,
32S,32S,,,
32X,32X,,,
330,330,,,
332,332,,,
333,333,,,
338,338,,,
339,339,,,
33F,33F,,,
33X,33X,,,
340,340,,,
342,342,,,
343,343,,,
345,345,,,
346,346,,,
350,350,,,
351,351,,,
358,358,,,
359,359,,,
380,380,,,
388,388,,,
38F,38F,,,
703,703,,,
707,707,,,
70F,70F,,,
70M,70M,,,
717,717,,,
721,721,,,
722,722,,,
727,727,,,
72A,72A,,,
72B,72B,,,
72C,72C,,,
72F,72F,,,
72M,72M,,,
72S,72S,,,
72W,72W,,,
72X,72X,,,
72Y,72Y,,,
731,731,,,
732,732,,,
733,733,,,
734,734,,,
735,735,,,
736,736,,,
737,737,,,
738,738,,,
739,739,,,
73A,73A,,,
73C,73C,,,
73E,73E,,,
73F,73F,,,
73G,73G,,,
73H,73H,,,
73J,73J,,,
73L,73L,,,
73M,73M,,,
73N,73N,,,
73P,73P,,,
73Q,73Q,,,
73R,73R,,,
73S,73S,,,
73W,73W,,,
73X,73X,,,
73Y,73Y,,,
73Z,73Z,,,
741,741,,,
742,742,,,
743,743,,,
744,744,,,
747,747,,,
748,748,,,
74B,74B,,,
74C,74C,,,
74D,74D,,,
74E,74E,,,
74F,74F,,,
74H,74H,,,
74J,74J,,,
74L,74L,,,
74M,74M,,,
74N,74N,,,
74R,74R,,,
74T,74T,,,
74U,74U,,,
74V,74V,,,
74X,74X,,,
74Y,74Y,,,
752,752,,,
753,753,,,
757,757,,,
75F,75F,,,
75M,75M,,,
75T,75T,,,
75W,75W,,,
762,762,,,
763,763,,,
764,764,,,
767,767,,,
76F,76F,,,
76V,76V,,,
76W,76W,,,
76X,76X,,,
76Y,76Y,,,
772,772,,,
773,773,,,
777,777,,,
77F,77F,,,
77L,77L,,,
