IATA_Code,ICAO_Code,Manufacturer,Model,Full_Designation,Common_Name,Generation,Category,Mission_Type,WTC,Status
100,F100,Fokker,100,Fokker 100,100,,2J,Passenger,M,In Service
141,B461,BAe,146-100,BAe 146-100,146-100,,4J,Passenger,M,In Service
142,B462,BAe,BAE Systems 146-200 Passenger,BAe BAE Systems 146-200 Passenger,BAE Systems 146-200 Passenger,,4J,Passenger,M,In Service
143,B463,BAe,146-300,BAe 146-300,146-300,,4J,Passenger,M,In Service
146,,BAe,146,BAe 146,146,,,Passenger,M,In Service
14F,,BAe,146 Freighter (-100/200/300QT & QC),BAe 146 Freighter (-100/200/300QT & QC),146 Freighter (-100/200/300QT & QC),,,Passenger,M,In Service
14X,B461,BAe,146 Freighter (-100QT & QC),BAe 146 Freighter (-100QT & QC),146 Freighter (-100QT & QC),,4J,Passenger,,In Service
14Y,B462,BAe,146 Freighter (-200QT & QC),BAe 146 Freighter (-200QT & QC),146 Freighter (-200QT & QC),,4J,Passenger,,In Service
14Z,B463,BAe,146 Freighter (-300QT & QC),BAe 146 Freighter (-300QT & QC),146 Freighter (-300QT & QC),,4J,Passenger,,In Service
19D,,Airbus,A319,Airbus A319,A319,,,Passenger,,In Service
221,BCS1,Airbus,A220-100,Airbus A220-100,A220-100,,,Passenger,,In Service
223,BCS3,Airbus,A220-200,Airbus A220-200,A220-200,,,Passenger,,In Service
290,E290,Embraer,E190-E2,Embraer E190-E2,E190-E2,,,Passenger,M,In Service
295,E295,Embraer,E195-E2,Embraer E195-E2,E195-E2,,,Passenger,M,In Service
310,,Airbus,A310,Airbus A310,A310,,,Passenger,H,In Service
312,A310,Airbus,A310-200,Airbus A310-200,A310-200,,2J,Passenger,,In Service
313,A310,Airbus,A310-300,Airbus A310-300,A310-300,,2J,Passenger,,In Service
318,A318,Airbus,A318,Airbus A318,A318,,2J,Passenger,M,In Service
319,A319,Airbus,A319,Airbus A319,A319,,2J,Passenger,M,In Service
31F,,Airbus,A310F,Airbus A310F,A310F,,,Passenger,,In Service
31N,A19N,Airbus,A319 Neo,Airbus A319 Neo,A319 Neo,,2J,Passenger,M,In Service
31W,,Airbus,A319 (Sharklets),Airbus A319 (Sharklets),A319 (Sharklets),,,Passenger,,In Service
31X,A310,Airbus,A310-200F,Airbus A310-200F,A310-200F,,2J,Passenger,,In Service
31Y,A310,Airbus,A310-300F,Airbus A310-300F,A310-300F,,2J,Passenger,,In Service
320,A320,Airbus,A320-100/200,Airbus A320-100/200,A320-100/200,,2J,Passenger,M,In Service
321,A321,Airbus,A321-100/200,Airbus A321-100/200,A321-100/200,,2J,Passenger,M,In Service
32A,A320,Airbus,A320 (sharklets),Airbus A320 (sharklets),A320 (sharklets),,2J,Passenger,,In Service
32B,A321,Airbus,A321 (sharklets),Airbus A321 (sharklets),A321 (sharklets),,2J,Passenger,,In Service
32C,,Airbus,A318 (sharklets),Airbus A318 (sharklets),A318 (sharklets),,,Passenger,,In Service
32D,,Airbus,A319 (sharklets),Airbus A319 (sharklets),A319 (sharklets),,,Passenger,,In Service
32F,A320,Airbus,A320 Freighter,Airbus A320 Freighter,A320 Freighter,,2J,Passenger,,In Service
32N,A20N,Airbus,A320-200 Neo,Airbus A320-200 Neo,A320-200 Neo,,2J,Passenger,M,In Service
32Q,A21N,Airbus,A321-200 Neo,Airbus A321-200 Neo,A321-200 Neo,,2J,Passenger,M,In Service
32S,,Airbus,A318/319/320/321,Airbus A318/319/320/321,A318/319/320/321,,2J,Passenger,,In Service
32X,A321,Airbus,A321 Freighter,Airbus A321 Freighter,A321 Freighter,,2J,Passenger,,In Service
330,,Airbus,A330,Airbus A330,A330,,,Passenger,H,In Service
332,A332,Airbus,A330-200,Airbus A330-200,A330-200,,2J,Passenger,H,In Service
333,A333,Airbus,A330-300,Airbus A330-300,A330-300,,2J,Passenger,H,In Service
338,A338,Airbus,A330-800 Neo,Airbus A330-800 Neo,A330-800 Neo,,2J,Passenger,H,In Service
339,A339,Airbus,A330-900 Neo,Airbus A330-900 Neo,A330-900 Neo,,2J,Passenger,H,In Service
33F,,Airbus,A330 Freighter,Airbus A330 Freighter,A330 Freighter,,,Passenger,,In Service
33X,A332,Airbus,A330-200 Freighter,Airbus A330-200 Freighter,A330-200 Freighter,,2J,Passenger,,In Service
340,,Airbus,A340,Airbus A340,A340,,,Passenger,H,In Service
342,A342,Airbus,A340-200,Airbus A340-200,A340-200,,4J,Passenger,H,In Service
343,A343,Airbus,A340-300,Airbus A340-300,A340-300,,4J,Passenger,H,In Service
345,A345,Airbus,A340-500,Airbus A340-500,A340-500,,4J,Passenger,H,In Service
346,A346,Airbus,A340-600,Airbus A340-600,A340-600,,4J,Passenger,H,In Service
350,,Airbus,A350,Airbus A350,A350,,,Passenger,H,In Service
351,ZZZZ,Airbus,A350-1000,Airbus A350-1000,A350-1000,,2J,Passenger,H,In Service
358,ZZZZ,Airbus,A350-800,Airbus A350-800,A350-800,,2J,Passenger,,In Service
359,ZZZZ,Airbus,A350-900,Airbus A350-900,A350-900,,2J,Passenger,H,In Service
380,,Airbus,A380,Airbus A380,A380,,,Passenger,J,In Service
388,A388,Airbus,A380,Airbus A380,A380,,4J,Passenger,J,In Service
38F,A388,Airbus,A380F,Airbus A380F,A380F,,4J,Passenger,,In Service
703,B703,Boeing,707-300,Boeing 707-300,707-300,,4J,Passenger,H,In Service
707,,Boeing,707/720,Boeing 707/720,707/720,,,Passenger,,In Service
70F,B703,Boeing,707 Freighter,Boeing 707 Freighter,707 Freighter,,4J,Passenger,,In Service
70M,B703,Boeing,707 Combi,Boeing 707 Combi,707 Combi,,4J,Passenger,,In Service
717,B712,Boeing,717,Boeing 717,717,,2J,Passenger,M,In Service
721,B721,Boeing,727-100,Boeing 727-100,727-100,,3J,Passenger,M,In Service
722,B722,Boeing,727-200,Boeing 727-200,727-200,,3J,Passenger,M,In Service
727,,Boeing,727,Boeing 727,727,,,Passenger,M,In Service
72A,,Boeing,727-200 Advanced,Boeing 727-200 Advanced,727-200 Advanced,,,Passenger,,In Service
72B,B721,Boeing,727-100 Mixed,Boeing 727-100 Mixed,727-100 Mixed,,3J,Passenger,,In Service
72C,B722,Boeing,727-200 Mixed,Boeing 727-200 Mixed,727-200 Mixed,,3J,Passenger,,In Service
72F,,Boeing,727 Freighter (-100/200),Boeing 727 Freighter (-100/200),727 Freighter (-100/200),,,Passenger,,In Service
72M,,Boeing,727 Combi,Boeing 727 Combi,727 Combi,,,Passenger,,In Service
72S,,Boeing,727-200 Adv.,Boeing 727-200 Adv.,727-200 Adv.,,,Passenger,,In Service
72W,B722,Boeing,727-200 (winglets),Boeing 727-200 (winglets),727-200 (winglets),,3J,Passenger,,In Service
72X,B721,Boeing,727-100 Freighter,Boeing 727-100 Freighter,727-100 Freighter,,3J,Passenger,,In Service
72Y,B722,Boeing,727-200 Freighter,Boeing 727-200 Freighter,727-200 Freighter,,3J,Passenger,,In Service
