"Code","Company","Region","Notes"
"1A","Amadeus IT Group","Global","Headquartered in Madrid, Spain. Largest GDS by market share."
"1B","Sabre Travel Network Asia-Pacific (Abacus)","Asia-Pacific","Formerly Abacus International; integrated into Sabre."
"1E","Travelsky Technology","China","State-owned GDS operated by Civil Aviation Administration of China (CAAC)."
"1F","Infini Travel Information Inc.","Japan","Joint venture between Sabre and All Nippon Airways (ANA)."
"1G","Travelport (Galileo)","Global","Galileo core system operated by Travelport."
"1H","Sirena Travel","Russia / CIS","GDS serving Russian and CIS markets."
"1J","PT. Navios Evolusi Solusindo","Indonesia","Regional GDS serving Indonesian market."
"1K","MixVel / Southern Cross Distribution","Russia / Australia","Dual-use code; MixVel in Russia, Southern Cross Distribution in Australia."
"1M","Online Reservation System JSC","Russia","Russian domestic reservation system."
"1P","Travelport (Worldspan)","Global","Worldspan core system operated by Travelport."
"1Q","Sirena-Travel (alternate)","Russia","Alternate code used by Sirena-Travel for specific markets."
"1S","Sabre Travel Network","Global","Headquartered in Southlake, Texas, USA."
"1V","Travelport (Apollo)","Global","Apollo core system operated by Travelport."
"1W","Travelport (combined)","Global","Combined Travelport platform code."
"1Z","Sabre Pacific","Asia-Pacific","Sabre distribution platform for Asia-Pacific region."
