Lessor_ID,Name,HQ_Location,Fleet_Size,Contact_Info,Status
AER,AerCap,Dublin / Ireland,1700+,"info@aercap.com",Active
AVO,Avolon,Dublin / Ireland,800+,"info@avolon.aero",Active
SMB,SMBC Aviation Capital,Dublin / Ireland,700+,"info@smbc.aero",Active
GEC,GECAS,New York / USA,1600+,"info@gecas.com",Merged
BOC,BOC Aviation,Singapore,600+,"info@bocaviation.com",Active
DAE,Dubai Aerospace Enterprise,Dubai / UAE,400+,"info@dubaiaerospace.com",Active
ALC,Air Lease Corporation,Los Angeles / USA,450+,"info@airleasecorp.com",Active
ICB,ICBC Leasing,Beijing / China,400+,"info@icbcleasing.com",Active
CDB,CDB Aviation,Dublin / Ireland,380+,"info@cdbaviation.aero",Active
AVI,Aviation Capital Group,Newport Beach / USA,400+,"info@aviationcapital.com",Active
