Model_ID,Name,Origin,Role,IATA_Type_Ref
aasijetcruzer,AASI Jetcruzer,United States of America,Business and utility transport,
aeaexplorer,AEA Explorer,Australia,Multirole utility transport,
aermacchif260,Aermacchi F-260,Italy,Two seat trainer and high performance light aircraft,
aeroboeroab95115150180,Aero Boero AB-95/115/150/180,Argentina,Family of three and four seat light aircraft,
aeronca11chief,Aeronca 11 Chief,United States of America,Two seat light aircraft,
aeronca7champion,Aeronca 7 Champion,United States of America,Two seat light aircraft,
aerospatialealouetteiilama,Aerospatiale Alouette II & Lama,France,Light utility helicopters,
aerospatialealouetteiii,Aerospatiale Alouette III,France,Light utility helicopter,
aerospatialebritishaerospaceconcorde,Aerospatiale-British Aerospace Concorde,France and United Kingdom,Medium range supersonic airliner,
aerospatialen262fregatemohawk298,Aerospatiale N-262 Fregate & Mohawk 298,France,Short range turboprop commuter airliner,
aerospatialesa330puma,Aerospatiale SA-330 Puma,France,Twin engine medium lift helicopter,
aerospatialesa341342gazelle,Aerospatiale SA-341/342 Gazelle,France,Utility helicopter,
aerospatialesa360361365cdauphin,Aerospatiale SA-360/361/365C Dauphin,France,Mid size utility helicopters,
aerospatialesn601corvette,Aerospatiale SN-601 Corvette,France,Light corporate jet,
agustaa109,Agusta A-109,Italy,Twin engined utility & corporate helicopter,
agustaa119koala,Agusta A-119 Koala,Italy,Light utility helicopter,
airtractorseries,Air Tractor series,United States of America,Series of piston & turboprop powered agricultural aircraft,
airbusa300600,Airbus A300-600,"France, Germany, Spain and UK",Medium range widebody airliner,
airbusa300600stsupertransporter,Airbus A300-600ST Super Transporter,European consortium,Oversize cargo freighter,
airbusa300b2b4,Airbus A300B2/B4,European consortium,Medium range widebody airliner,
airbusa310,Airbus A310,European consortium,Medium to long range widebody airliner,
airbusa318,Airbus A318,European consortium,100 seat regional airliner,
airbusa319,Airbus A319,European consortium,Medium range airliner,
airbusa319cj,Airbus A319CJ,European consortium,Long range large corporate jet,
airbusa320,Airbus A320,European consortium,Short to medium range airliner,
airbusa321,Airbus A321,European consortium,Short to medium range narrowbody airliner,
airbusa330200,Airbus A330-200,European consortium,Long range widebody airliner,
airbusa330300,Airbus A330-300,European consortium,Large capacity medium to long range airliner,
airbusa340200300,Airbus A340-200/300,European consortium,Long range widebody airliner,
airbusa340500600,Airbus A340-500/600,European consortium,Long range widebody airliners,
airbusa380,Airbus A380,"Europe (France, Germany, Spain, UK)","High capacity, long range, twindeck, widebody airliner",
americanchampionbellancaseries,American Champion & Bellanca series,United States of America,Series of two seat utility and aerobatic light aircraft,
antonovan12shaanxiy8,Antonov An-12 & Shaanxi Y-8,Ukraine and China,Mid sized turboprop freighter,
antonovan124ruslan,Antonov An-124 Ruslan,Ukraine,Heavylift freighter,
antonovan140,Antonov An-140,Ukraine,Turboprop regional airliner,
antonovan22antei,Antonov An-22 Antei,Ukraine,Large capacity turboprop freighter,
antonovan225mriya,Antonov An-225 Mriya,Ukraine,Extra-Large cargo aircraft,
antonovan24263032xiany7,Antonov An-24/26/30/32 & Xian Y-7,Ukraine,Regional airliner and freighter,
antonovan38,Antonov An-38,Ukraine,Regional airliner and utility transport,
antonovan7274,Antonov An-72/74,Ukraine,STOL capable freight and utility transport,
antonovpzlmielecan2,Antonov/PZL Mielec An-2,Ukraine and Poland,Biplane utility transport,
antonovpzlmielecan28,Antonov/PZL Mielec An-28,Ukraine and Poland,Regional airliner and utility transports,
atratr42,ATR ATR-42,France and Italy,42 seat turboprop regional airliner,
atratr72,ATR ATR-72,France and Italy,70 seat turboprop regional airliner,
austerjseries,Auster J series,United Kingdom,"Two, three and four seat light aircraft",
aviata1husky,Aviat A-1 Husky,United States of America,Two seat utility light aircraft,
aviationtradersatl98carvair,Aviation Traders ATL-98 Carvair,United Kingdom,Freighter/utility transport,
ayresthrushrockwellthrushcommander,Ayres Thrush & Rockwell Thrush Commander,United States of America,Agricultural aircraft,
bac111oneeleven,BAC 111 One-Eleven,United Kingdom,Short haul airliner,
baesystemsavrorjx85100,BAE Systems Avro RJX85/100,United Kingdom,Regional airliner,
beagleb121pup,Beagle B-121 Pup,United Kingdom,"Two, three and four place light aircraft",
beagleb206,Beagle B-206,United Kingdom,Six/eight place cabin twin,
beech18,Beech 18,United States of America,Light utility transport,
beech192324musketeersierrasportsundowner,Beech 19/23/24 Musketeer/Sierra/Sport/Sundowner,United States of America,Four seat light aircraft,
beech2000starship1,Beech 2000 Starship 1,United States of America,Advanced technology corporate transport,
beech35bonanza,Beech 35 Bonanza,United States of America,Four & six seat high performance light aircraft,
beech60duke,Beech 60 Duke,United States of America,Four or six place light business twin,
beech65708088queenair,Beech 65/70/80/88 Queen Air,United States of America,"Utility, light executive transport and commuter airliner",
