service_type_code,application,type_of_operation,service_type,description
J,Scheduled,Passenger,Normal Service,
S,Scheduled,Passenger,Shuttle Mode,
U,Scheduled,Passenger,Service operated by Surface Vehicle,
F,Scheduled,Cargo/Mail,Loose Loaded cargo and/or preloaded devices,
V,Scheduled,Cargo/Mail,Service operated by Surface Vehicle,
M,Scheduled,Cargo/Mail,Mail only,
Q,Scheduled,Passenger/Cargo,Passenger/Cargo in Cabin (mixed configuration aircraft),
G,Additional Flights,Passenger,Normal Service,
B,Additional Flights,Passenger,Shuttle Mode,
A,Additional Flights,Cargo/Mail,Cargo/Mail,
R,Additional Flights,Passenger/Cargo,Passenger/Cargo in Cabin (mixed configuration aircraft),
C,Charter,Passenger,Passenger Only,
O,Charter,Special Handling,Charter requiring special handling (e.g. Migrants/immigrant Flights),
H,Charter,Cargo/Mail,Cargo and /or Mail,
L,Charter,Passenger/Cargo/Mail,Passenger and Cargo and/or Mail,
P,Others,Not specific,Non-revenue (Positioning/Ferry/Delivery/Demo),
T,Others,Not specific,Technical Test,
K,Others,Not specific,Training (School/Crew check),
D,Others,Not specific,General Aviation,
E,Others,Not specific,Special (FAA/Government),
W,Others,Not specific,Military,
X,Others,Not specific,Technical Stop,
I,Others,Not specific,State/Diplomatic/Air Ambulance,
N,Others,Not specific,Business Aviation/Air Taxi,
