Model_ID,Source_URL,Bibliography
aasijetcruzer,https://www.airliners.net/aircraft-data/aasi-jetcruzer/2,Airliners.net
aeaexplorer,https://www.airliners.net/aircraft-data/aea-explorer/1,Airliners.net
aermacchif260,https://www.airliners.net/aircraft-data/aermacchi-f-260/3,Airliners.net
aeroboeroab95115150180,https://www.airliners.net/aircraft-data/aero-boero-ab-95115150180/4,Airliners.net
aeronca11chief,https://www.airliners.net/aircraft-data/aeronca-11-chief/399,Airliners.net
aeronca7champion,https://www.airliners.net/aircraft-data/aeronca-7-champion/5,Airliners.net
aerospatialealouetteiilama,https://www.airliners.net/aircraft-data/aerospatiale-alouette-ii-lama/7,Airliners.net
aerospatialealouetteiii,https://www.airliners.net/aircraft-data/aerospatiale-alouette-iii/8,Airliners.net
aerospatialebritishaerospaceconcorde,https://www.airliners.net/aircraft-data/aerospatiale-british-aerospace-concorde/6,Airliners.net
aerospatialen262fregatemohawk298,https://www.airliners.net/aircraft-data/aerospatiale-n-262-fregate-mohawk-298/12,Airliners.net
aerospatialesa330puma,https://www.airliners.net/aircraft-data/aerospatiale-sa-330-puma/9,Airliners.net
aerospatialesa341342gazelle,https://www.airliners.net/aircraft-data/aerospatiale-sa-341342-gazelle/10,Airliners.net
aerospatialesa360361365cdauphin,https://www.airliners.net/aircraft-data/aerospatiale-sa-360361365c-dauphin/11,Airliners.net
aerospatialesn601corvette,https://www.airliners.net/aircraft-data/aerospatiale-sn-601-corvette/13,Airliners.net
agustaa109,https://www.airliners.net/aircraft-data/agusta-a-109/15,Airliners.net
agustaa119koala,https://www.airliners.net/aircraft-data/agusta-a-119-koala/16,Airliners.net
airtractorseries,https://www.airliners.net/aircraft-data/air-tractor-series/31,Airliners.net
airbusa300600,https://www.airliners.net/aircraft-data/airbus-a300-600/18,Airliners.net
airbusa300600stsupertransporter,https://www.airliners.net/aircraft-data/airbus-a300-600st-super-transporter/19,Airliners.net
airbusa300b2b4,https://www.airliners.net/aircraft-data/airbus-a300b2b4/17,Airliners.net
airbusa310,https://www.airliners.net/aircraft-data/airbus-a310/20,Airliners.net
airbusa318,https://www.airliners.net/aircraft-data/airbus-a318/21,Airliners.net
airbusa319,https://www.airliners.net/aircraft-data/airbus-a319/22,Airliners.net
airbusa319cj,https://www.airliners.net/aircraft-data/airbus-a319cj/30,Airliners.net
airbusa320,https://www.airliners.net/aircraft-data/airbus-a320/23,Airliners.net
airbusa321,https://www.airliners.net/aircraft-data/airbus-a321/24,Airliners.net
airbusa330200,https://www.airliners.net/aircraft-data/airbus-a330-200/26,Airliners.net
airbusa330300,https://www.airliners.net/aircraft-data/airbus-a330-300/25,Airliners.net
airbusa340200300,https://www.airliners.net/aircraft-data/airbus-a340-200300/27,Airliners.net
airbusa340500600,https://www.airliners.net/aircraft-data/airbus-a340-500600/28,Airliners.net
airbusa380,https://www.airliners.net/aircraft-data/airbus-a380/29,Airliners.net
americanchampionbellancaseries,https://www.airliners.net/aircraft-data/american-champion-bellanca-series/34,Airliners.net
antonovan12shaanxiy8,https://www.airliners.net/aircraft-data/antonov-an-12-shaanxi-y-8/35,Airliners.net
antonovan124ruslan,https://www.airliners.net/aircraft-data/antonov-an-124-ruslan/40,Airliners.net
antonovan140,https://www.airliners.net/aircraft-data/antonov-an-140/405,Airliners.net
antonovan22antei,https://www.airliners.net/aircraft-data/antonov-an-22-antei/36,Airliners.net
antonovan225mriya,https://www.airliners.net/aircraft-data/antonov-an-225-mriya/389,Airliners.net
antonovan24263032xiany7,https://www.airliners.net/aircraft-data/antonov-an-24263032-xian-y-7/37,Airliners.net
antonovan38,https://www.airliners.net/aircraft-data/antonov-an-38/404,Airliners.net
antonovan7274,https://www.airliners.net/aircraft-data/antonov-an-7274/39,Airliners.net
antonovpzlmielecan2,https://www.airliners.net/aircraft-data/antonovpzl-mielec-an-2/33,Airliners.net
antonovpzlmielecan28,https://www.airliners.net/aircraft-data/antonovpzl-mielec-an-28/38,Airliners.net
atratr42,https://www.airliners.net/aircraft-data/atr-atr-42/41,Airliners.net
atratr72,https://www.airliners.net/aircraft-data/atr-atr-72/42,Airliners.net
austerjseries,https://www.airliners.net/aircraft-data/auster-j-series/43,Airliners.net
aviata1husky,https://www.airliners.net/aircraft-data/aviat-a-1-husky/44,Airliners.net
aviationtradersatl98carvair,https://www.airliners.net/aircraft-data/aviation-traders-atl-98-carvair/49,Airliners.net
ayresthrushrockwellthrushcommander,https://www.airliners.net/aircraft-data/ayres-thrush-rockwell-thrush-commander/53,Airliners.net
bac111oneeleven,https://www.airliners.net/aircraft-data/bac-111-one-eleven/54,Airliners.net
baesystemsavrorjx85100,https://www.airliners.net/aircraft-data/bae-systems-avro-rjx85100/48,Airliners.net
beagleb121pup,https://www.airliners.net/aircraft-data/beagle-b-121-pup/59,Airliners.net
beagleb206,https://www.airliners.net/aircraft-data/beagle-b-206/60,Airliners.net
beech18,https://www.airliners.net/aircraft-data/beech-18/61,Airliners.net
beech192324musketeersierrasportsundowner,https://www.airliners.net/aircraft-data/beech-192324-musketeersierrasportsundowner/62,Airliners.net
beech2000starship1,https://www.airliners.net/aircraft-data/beech-2000-starship-1/69,Airliners.net
beech35bonanza,https://www.airliners.net/aircraft-data/beech-35-bonanza/63,Airliners.net
beech60duke,https://www.airliners.net/aircraft-data/beech-60-duke/67,Airliners.net
beech65708088queenair,https://www.airliners.net/aircraft-data/beech-65708088-queen-air/65,Airliners.net
beech76duchess,https://www.airliners.net/aircraft-data/beech-76-duchess/68,Airliners.net
beech77skipper,https://www.airliners.net/aircraft-data/beech-77-skipper/64,Airliners.net
beech99airliner,https://www.airliners.net/aircraft-data/beech-99-airliner/66,Airliners.net
bell204205214b,https://www.airliners.net/aircraft-data/bell-204205214b/73,Airliners.net
bell206jetranger,https://www.airliners.net/aircraft-data/bell-206-jetranger/71,Airliners.net
bell206llongranger,https://www.airliners.net/aircraft-data/bell-206l-longranger/72,Airliners.net
bell206lttwinrangertridairgeminist,https://www.airliners.net/aircraft-data/bell-206lt-twinranger-tridair-gemini-st/81,Airliners.net
bell212twintwotwelve,https://www.airliners.net/aircraft-data/bell-212-twin-twotwelve/74,Airliners.net
bell214stsupertransport,https://www.airliners.net/aircraft-data/bell-214st-supertransport/76,Airliners.net
bell222230,https://www.airliners.net/aircraft-data/bell-222-230/77,Airliners.net
bell407,https://www.airliners.net/aircraft-data/bell-407/79,Airliners.net
bell412,https://www.airliners.net/aircraft-data/bell-412/75,Airliners.net
bell427,https://www.airliners.net/aircraft-data/bell-427/80,Airliners.net
bell430,https://www.airliners.net/aircraft-data/bell-430/78,Airliners.net
bell47,https://www.airliners.net/aircraft-data/bell-47/70,Airliners.net
bellagustaba609,https://www.airliners.net/aircraft-data/bell-agusta-ba-609/82,Airliners.net
berievbe200,https://www.airliners.net/aircraft-data/beriev-be-200/84,Airliners.net
berievbe3032,https://www.airliners.net/aircraft-data/beriev-be-3032/83,Airliners.net
boeing707,https://www.airliners.net/aircraft-data/boeing-707/87,Airliners.net
