IATA,ICAO,MTOW (kg),MZFW (kg),Empty_Weight (kg),Wingspan (m),Length (m),Height (m)
100,F100,,,,,,
141,B461,,,,,,
142,B462,,,,,,
143,B463,,,,,,
146,,,,,,,
14F,,,,,,,
14X,B461,,,,,,
14Y,B462,,,,,,
14Z,B463,,,,,,
19D,,,,,,,
221,BCS1,,,,,,
223,BCS3,,,,,,
290,E290,,,,,,
295,E295,,,,,,
310,,,,,,,
312,A310,,,,,,
313,A310,,,,,,
318,A318,,,,,,
319,A319,,,,,,
31F,,,,,,,
31N,A19N,,,,,,
31W,,,,,,,
31X,A310,,,,,,
31Y,A310,,,,,,
320,A320,,,,,,
321,A321,,,,,,
32A,A320,,,,,,
32B,A321,,,,,,
32C,,,,,,,
32D,,,,,,,
32F,A320,,,,,,
32N,A20N,,,,,,
32Q,A21N,,,,,,
32S,,,,,,,
32X,A321,,,,,,
330,,,,,,,
332,A332,,,,,,
333,A333,,,,,,
338,A338,,,,,,
339,A339,,,,,,
33F,,,,,,,
33X,A332,,,,,,
340,,,,,,,
342,A342,,,,,,
343,A343,,,,,,
345,A345,,,,,,
346,A346,,,,,,
350,,,,,,,
351,ZZZZ,,,,,,
358,ZZZZ,,,,,,
359,ZZZZ,,,,,,
380,,,,,,,
388,A388,,,,,,
38F,A388,,,,,,
703,B703,,,,,,
707,,,,,,,
70F,B703,,,,,,
70M,B703,,,,,,
717,B712,,,,,,
721,B721,,,,,,
722,B722,,,,,,
727,,,,,,,
72A,,,,,,,
72B,B721,,,,,,
72C,B722,,,,,,
72F,,,,,,,
72M,,,,,,,
72S,,,,,,,
72W,B722,,,,,,
72X,B721,,,,,,
72Y,B722,,,,,,
731,B731,,,,,,
732,B732,,,,,,
733,B733,,,,,,
734,B734,,,,,,
735,B735,,,,,,
736,B736,,,,,,
737,,,,,,,
738,B738,,,,,,
739,B739,,,,,,
73A,,,,,,,
73C,B733,,,,,,
73E,B735,,,,,,
73F,,,,,,,
73G,B737,,,,,,
73H,B738,,,,,,
73J,B739,,,,,,
73L,B732,,,,,,
73M,,,,,,,
73N,B733,,,,,,
73P,B734,,,,,,
73Q,B734,,,,,,
73R,B737,,,,,,
73S,B737,,,,,,
73W,B737,,,,,,
73X,B732,,,,,,
73Y,B733,,,,,,
73Z,,,,,,,
741,B741,,,,,,
742,B742,,,,,,
743,B743,,,,,,
744,B744,,,,,,
747,,,,,,,
748,B748,,,,,,
74B,B744,,,,,,
74C,B742,,,,,,
74D,B743,,,,,,
74E,B744,,,,,,
74F,,,,,,,
74H,B748,,,,,,
74J,B74D,,,,,,
74L,B74S,,,,,,
74M,,,,,,,
