name,icao_code
12 North,N12
135 Airways,GNL
1384 Charter,M-US-5181
1Time Airline,RNX
2 Sqn No 1 Elementary Flying Training School,WYT
213 Flight Unit,TFU
223 Flight Unit State Airline,CHD
224th Flight Unit,TTF
247 Jet Ltd,TWF
360 Aviation Austria,M-AT-202
3D Aviation,SEC
4 Island Air Services,FIA
4D Air,QRT
4You Airlines,M-PL-4027
7th sky airlines,M-KZ-3068
84 Squadron Royal Air Force @ RAF Akrotiri,AKG
88,VVN
A de C,
A J Services,AJA
A-Safar Air Services,SFM
A. Soriano Aviation,M-PH-3958
A2 Jet Leasing,AJJ
AAI - Alaska Aeronautical Industries,M-US-5184
AASANA,XXV
AB Airlines,M-KM-3022
Aba Air,ABP
Ababeel Aviation,BBE
Abaet,ABJ
Abakan-Avia,M-RU-4251
Aban Air,ABE
Abas,MRP
ABC Aerolineas,AIJ
ABC Air Hungary,AHU
ABC Bedarsflug,FTY
ABC Commuter Airways,M-AN-117
ABCO Aviation,M-US-5186
Abelag Aviation,M-BE-417
Aberdair Aviation,M-KE-2903
Aberdeen London Express,
Abicar,ADJ
Aboitiz Air,BOI
ABSA Cargo,M-BR-564
Absil Air Services,M-ZA-5385
ACA-Ancargo Air Sociedade de Transporte de Carga Lda,NCL
Academy Airlines,ACD
Access Air,M-US-5188
ACE - Alaska Central Express,M-US-5189
ACE Belgium Freighters,M-BE-419
ACE Transvalair,M-FR-1900
ACEF,CFM
ACES Colombia,AES
ACG Air Cargo Germany,M-DE-1325
ACG Air Cargo Global,M-SK-4633
ACM Air Charter,BVR
ACM AIR CHARTER Luftfahrtgesellschaft mbH,M-DE-1359
Acre Táxi Aéreo,M-BR-565
ACS - Air Charter Service,M-LR-3139
Action Air,ORS
Action Airlines (Action Air Charter),AXQ
Active Aero Charter,AVR
Acvila Air,M-RO-4126
Acvila Air-Romanian Carrier,RRM
AD Aviation,VUE
ADA Colombia,M-CO-1211
ADAC Luftrettung gGmbH,M-DE-1360
Adam Air,M-ID-2329
ADC Airlines,ADK
Addis Air Cargo Services,DSC
ADI Charter Services,M-US-5191
Adlair Aviation,M-CA-781
Adlair Aviation,M-CA-782
Adler Aviation,SWH
Admiralty Air,M-US-5192
Adorna Airways,M-MY-3532
Adria Airways Switzerland,M-CH-945
Adriatic Airways DOO,M-ME-3247
