IATA,ICAO,FAA,Name,Country,Location,Elevation,Latitude,Longitude,Chart,Website,Wikipedia,Airport Type,ISO Country
RKZ,ZURK,,,,Xigazê (Samzhubzê),3782 feet,,,,,,Large Airport,CN
TFU,ZUTF,,,,Chengdu (Jianyang),1440 feet,,,,,,Large Airport,CN
UBN,ZMCK,,,,Ulaanbaatar (Sergelen),4482 feet,,,,,,Large Airport,MN
EHU,ZHEC,,,,Ezhou,86 feet,,,,,,Large Airport,CN
WSI,YSWS,,,,Sydney,260 feet,,,,,,Large Airport,AU
WTB,YBWW,,,,Toowoomba,1509 feet,,,,,,Large Airport,AU
KNO,WIMM,,,,Beringin,23 feet,,,,,,Large Airport,ID
YIA,WAHI,,,,Yogyakarta,24 feet,,,,,,Large Airport,ID
LOP,WADL,,,,"Mataram (Pujut, Lombok Tengah)",319 feet,,,,,,Large Airport,ID
GOX,VOGA,,,,Mopa,552 feet,,,,,,Large Airport,IN
NMF,VRDA,,,,Noonu Atoll,6 feet,,,,,,Large Airport,MV
HWR,VIHX,,,,Halwara,790 feet,,,,,,Large Airport,IN
LTH,VVLT,,,,Ho Chi Minh City (Long Thanh),249 feet,,,,,,Large Airport,VN
SRG,WAHS,,Achmad Yani International Airport,Indonesia,Semarang,10 feet,-6.9727301598,110.3750000000,,,,Large Airport,ID
ADL,YPAD,,Adelaide International Airport,Australia,Adelaide,20 feet,-34.9449996948,138.5310058594,,,https://en.wikipedia.org/wiki/Adelaide_Airport,Large Airport,AU
SOC,WAHQ,,Adi Sumarmo Wiryokusumo Airport,Indonesia,Surakarta,421 feet,-7.5160899162,110.7570037842,,,,Large Airport,ID
AVV,YMAV,,Avalon Airport,Australia,Geelong/Melbourne,35 feet,-38.0393981934,144.4689941410,,,https://en.wikipedia.org/wiki/Avalon_Airport,Large Airport,AU
IXB,VEBD,,Bagdogra Airport,India,Siliguri,412 feet,26.6812000275,88.3285980225,,https://www.aai.aero/en/airports/bagdogra,https://en.wikipedia.org/wiki/Bagdogra_Airport,Large Airport,IN
